"field_id","value_code","value_name","count"
"20001","1001","lung cancer","329"
"20001","1002","breast cancer","13187"
"20001","1003","skin cancer","1798"
"20001","1004","cancer of lip/mouth/pharynx/oral cavity","117"
"20001","1005","salivary gland cancer","26"
"20001","1006","larynx/throat cancer","391"
"20001","1007","nasal cavity cancer","53"
"20001","1008","ear cancer","28"
"20001","1009","sinus cancer","15"
"20001","1010","lip cancer","22"
"20001","1011","tongue cancer","175"
"20001","1012","gum cancer","27"
"20001","1015","parotid gland cancer","97"
"20001","1016","other salivary gland cancer","23"
"20001","1017","oesophageal cancer","228"
"20001","1018","stomach cancer","201"
"20001","1019","small intestine/small bowel cancer","250"
"20001","1020","large bowel cancer/colorectal cancer","779"
"20001","1021","anal cancer","88"
"20001","1022","colon cancer/sigmoid cancer","1677"
"20001","1023","rectal cancer","371"
"20001","1024","liver/hepatocellular cancer","202"
"20001","1025","gallbladder/bile duct cancer","37"
"20001","1026","pancreas cancer","86"
"20001","1027","small cell lung cancer","73"
"20001","1028","non-small cell lung cancer","76"
"20001","1029","peripheral nerve/autonomic nerve cancer","13"
"20001","1030","eye and/or adnexal cancer","156"
"20001","1031","meningeal cancer / malignant meningioma","39"
"20001","1032","brain cancer / primary malignant brain tumour","239"
"20001","1033","spinal cord or cranial nerve cancer","46"
"20001","1034","kidney/renal cell cancer","727"
"20001","1035","bladder cancer","1369"
"20001","1036","other cancer of urinary tract","38"
"20001","1037","female genital tract cancer","45"
"20001","1038","male genital tract cancer","1"
"20001","1039","ovarian cancer","938"
"20001","1040","uterine/endometrial cancer","1394"
"20001","1041","cervical cancer","2121"
"20001","1042","vaginal cancer","40"
"20001","1043","vulval cancer","94"
"20001","1044","prostate cancer","4681"
"20001","1045","testicular cancer","970"
"20001","1046","penis cancer","44"
"20001","1047","lymphoma","178"
"20001","1048","leukaemia","262"
"20001","1050","multiple myeloma","220"
"20001","1051","myelofibrosis or myelodysplasia","34"
"20001","1052","hodgkins lymphoma / hodgkins disease","526"
"20001","1053","non-hodgkins lymphoma","1129"
"20001","1055","chronic lymphocytic","376"
"20001","1056","chronic myeloid","133"
"20001","1058","other haematological malignancy","47"
"20001","1059","malignant melanoma","4380"
"20001","1060","non-melanoma skin cancer","798"
"20001","1061","basal cell carcinoma","5696"
"20001","1062","squamous cell carcinoma","741"
"20001","1063","primary bone cancer","144"
"20001","1064","mesothelioma","6"
"20001","1065","thyroid cancer","550"
"20001","1066","parathyroid cancer","24"
"20001","1067","adrenal cancer","27"
"20001","1068","sarcoma/fibrosarcoma","289"
"20001","1070","malignant lymph node, unspecified","146"
"20001","1071","metastatic cancer (unknown primary)","45"
"20001","1072","cin/pre-cancer cells cervix","2190"
"20001","1073","rodent ulcer","1101"
"20001","1074","acute myeloid leukaemia","55"
"20001","1075","retinoblastoma","9"
"20001","1076","kaposis sarcoma","9"
"20001","1077","mouth cancer","56"
"20001","1078","tonsil cancer","43"
"20001","1079","oropharynx / oropharyngeal cancer","24"
"20001","1080","trachea cancer","3"
"20001","1081","thymus cancer / malignant thymoma","14"
"20001","1082","heart / mediastinum cancer","3"
"20001","1084","respiratory / intrathoracic cancer","1"
"20001","1085","bone metastases / bony secondaries","29"
"20001","1086","appendix cancer","17"
"20001","1087","fallopian tube cancer","12"
"20001","1088","malignant insulinoma","10"
"20001","99999","","746"
