"field_id","value_code","value_name","count"
"20003","1140850692","aludrox gel","0"
"20003","1140850708","dijex liquid","0"
"20003","1140850712","diovol fruit flavour suspension","0"
"20003","1140850714","droxalin tablet","1"
"20003","1140850716","dynese orange flavour suspension","0"
"20003","1140850720","gastrils 500mg green (mint) pastille","1"
"20003","1140850722","gastrils 500mg yellow (fruit) pastille","0"
"20003","1140850726","gelusil tablet","0"
"20003","1140850746","malinal 500mg/5ml suspension","1"
"20003","1140850748","mucogel tablet","5"
"20003","1140850750","phazyme tablet","0"
"20003","1140850752","polyalk suspension","0"
"20003","1140850760","alexitol sodium 360mg tablet","0"
"20003","1140850762","almasilate 500mg/5ml suspension","0"
"20003","1140850770","actal 360mg/5ml suspension","3"
"20003","1140850776","altacaps 500mg tablet","0"
"20003","1140850788","andursil suspension","0"
"20003","1140850792","antasil liquid","0"
"20003","1140850818","prodexin tablet","0"
"20003","1140850822","siloxyl suspension","0"
"20003","1140850826","simeco suspension","0"
"20003","1140850830","unigest tablet","0"
"20003","1140850836","peptard 0.2mg tablet","2"
"20003","1140850838","kolantyl gel","0"
"20003","1140850842","robinul 2mg tablet","0"
"20003","1140850852","piperidolate hydrochloride","0"
"20003","1140850854","dactil 50mg tablet","0"
"20003","1140850858","colven 135mg granules","0"
"20003","1140850870","app stomach tablet","1"
"20003","1140850874","cantil+phenobarbitone tablet","0"
"20003","1140850876","emetrol solution","0"
"20003","1140850878","libraxin tablet","0"
"20003","1140850902","nulacin tablet","0"
"20003","1140850904","roter tablet","0"
"20003","1140850906","titralac tablet","0"
"20003","1140850914","eumydrin 0.6% solution","1"
"20003","1140850920","aluminium hydroxide+belladonna mixture","0"
"20003","1140850922","belladonna paediatric 0.05mg/5ml liquid","2"
"20003","1140850924","magnesium trisilicate+belladonna 0.15mg tablet","3"
"20003","1140850926","alka-donna tablet","0"
"20003","1140850930","aluhyde tablet","0"
"20003","1140850932","bellocarb tablet","1"
"20003","1140850934","carbellon tablet","0"
"20003","1140850936","neutradonna tablet","0"
"20003","1140850954","biogastrone 50mg tablet","1"
"20003","1140850956","duogastrone 50mg tablet","0"
"20003","1140850960","rabro tablet","0"
"20003","1140850966","vi-siblin 66% granules","0"
"20003","1140850982","cellucon 500mg tablet","0"
"20003","1140850984","cologel 900mg/10ml mixture","1"
"20003","1140850996","alvercol granules 500g","0"
"20003","1140851000","dulcodos tablet","2"
"20003","1140851022","ceratonia","2"
"20003","1140851024","arobon 80% powder","0"
"20003","1140851028","chalk","1"
"20003","1140851040","aromatic chalk + opium mixture","1"
"20003","1140851046","flar capsule","0"
"20003","1140851062","fybranta 2g tablet","1"
"20003","1140851064","lejfibre 10g biscuits","1"
"20003","1140851066","trifyba 250g powder","1"
"20003","1140851072","dioctyl 100mg tablet","35"
"20003","1140851080","fig","0"
"20003","1140851088","senokot 7.5mg tablet","233"
"20003","1140851108","paraffin liquid+phenolphthalein suspension","0"
"20003","1140851110","phenolphthalein 125mg tablet","0"
"20003","1140851112","rhubarb compound mixture","0"
"20003","1140851114","rhubarb+soda ammoniated mixture","0"
"20003","1140851116","agarol mixture","0"
"20003","1140851118","alophen pill","1"
"20003","1140851120","kest tablet","0"
"20003","1140851122","opobyl pill","0"
"20003","1140851126","bismuth subgallate compound suppository bp","1"
"20003","1140851128","hamamelis 200mg suppository","1"
"20003","1140851130","hamamelis + zinc oxide suppository","0"
"20003","1140851132","alcos anal ointment","0"
"20003","1140851138","bismodyne ointment","1"
"20003","1140851142","lasonil ointment 14g","0"
