"field_id","value_code","value_name"
"40011","8000","Neoplasm"
"40011","8001","Tumor cells"
"40011","8002","Small cell tumour"
"40011","8003","Giant cell tumour"
"40011","8004","Spindle cell tumour"
"40011","8005","Clear cell tumor"
"40011","8010","Carcinoma, NOS"
"40011","8011","Epithelioma, NOS"
"40011","8012","Large cell carcinoma, NOS"
"40011","8013","Large cell neuroendocrine carcinoma"
"40011","8014","Large cell carcinoma with rhabdoid phenotype"
"40011","8015","Glassy cell carcinoma"
"40011","8020","Carcinoma, undifferentiated type"
"40011","8021","Carcinoma, anaplastic type"
"40011","8022","Pleomorphic carcinoma"
"40011","8030","Giant cell and spindle cell carcinoma"
"40011","8031","Giant cell carcinoma"
"40011","8032","Spindle cell carcinoma"
"40011","8033","Pseudosarcomatous carcinoma"
"40011","8034","Polygonal cell carcinoma"
"40011","8035","Carcinoma with osteoclast-like giant cells"
"40011","8040","Tumorlet"
"40011","8041","Small cell carcinoma, NOS"
"40011","8042","Oat cell carcinoma"
"40011","8043","Small cell carcinoma, fusiform cell"
"40011","8044","Small cell carcinoma, intermediate cell"
"40011","8045","Combined small cell carcinoma"
"40011","8046","Non-small cell carcinoma"
"40011","8050","Papillary carcinoma"
"40011","8051","Verrucous carcinoma"
"40011","8052","Papillary squamous cell carcinoma"
"40011","8053","Squamous cell papilloma, inverted"
"40011","8070","Squamous cell carcinoma"
"40011","8071","Squamous cell carcinoma, keratinizing"
"40011","8072","Squamous cell carcinoma, large cell, non-keratinizing"
"40011","8073","Squamous cell carcinoma, small cell, non-keratinizing"
"40011","8074","Squamous cell carcinoma, spindle cell"
"40011","8075","Squamous cell carcinoma, adenoid"
"40011","8076","Squamous cell carcinoma, micro-invasive"
"40011","8077","Squamous intraepithelial neoplasia, grade III"
"40011","8078","Squamous cell carcinoma with horn formation"
"40011","8080","Queyrat erythroplasia"
"40011","8081","Bowen disease"
"40011","8082","Lymphoepithelial carcinoma"
"40011","8083","Basaloid squamous cell carcinoma"
"40011","8084","Squamous cell carcinoma, clear cell type"
"40011","8090","Basal cell carcinoma, NOS"
"40011","8091","Multifocal superficial basal cell carcinoma"
"40011","8092","Infiltrating basal cell carcinoma, NOS"
"40011","8093","Basal cell carcinoma, fibroepithelial"
"40011","8094","Basosquamous carcinoma"
"40011","8095","Metatypical carcinoma"
"40011","8097","Basal cell carcinoma, nodular"
"40011","8098","Adenoid basal cell carcinoma"
"40011","8100","Trichoepithelioma"
"40011","8102","Trichilemmocarcinoma"
"40011","8110","Pilomatrix carcinoma"
"40011","8120","Transitional cell carcinoma"
"40011","8121","Schneiderian carcinoma"
"40011","8122","Transitional cell carcinoma, spindle cell"
"40011","8123","Basaloid carcinoma"
"40011","8124","Cloacogenic carcinoma"
"40011","8130","Papillary transitional cell carcinoma"
"40011","8131","Transitional cell carcinoma, micropapillary"
"40011","8140","Adenocarcinoma, NOS"
"40011","8141","Scirrhous adenocarcinoma"
"40011","8142","Linitis plastica"
"40011","8143","Superficial spreading adenocarcinoma"
"40011","8144","Adenocarcinoma, intestinal type"
"40011","8145","Carcinoma, diffuse type"
"40011","8146","Monomorphic adenoma"
"40011","8147","Basal cell adenocarcinoma"
"40011","8148","Glandular intraepithelial neoplasia, grade III"
"40011","8150","Islet cell carcinoma"
"40011","8151","Insulinoma (Beta-cell tumour), malignant"
"40011","8152","Glucagonoma (Alpha-cell tumour), malignant"
"40011","8153","Gastrinoma (G-cell tumour), malignant"
"40011","8154","Mixed islet cell and exocrine adenocarcinoma"
"40011","8155","Vipoma"
"40011","8156","Somatostatinoma, malignant"
"40011","8157","Enteroglucagonoma, malignant"
"40011","8160","Bile Duct Adenocarcinoma"
"40011","8161","Bile duct cystadenocarcinoma"
"40011","8162","Klatskin tumor"
"40011","8170","Hepatocellular carcinoma"
"40011","8171","Hepatocellular carcinoma, fibrolamellar"
