"field_id","value_code","value_name"
"41256","001","001 Craniotomy, not elsewhere classified"
"41256","0011","001.1 Craniotomy, not elsewhere classified : burr-hole"
"41256","0012","001.2 Craniotomy, not elsewhere classified : trephine"
"41256","0014","001.4 Craniotomy, not elsewhere classified : puncture of brain"
"41256","004","004 Excision of lesion of skull"
"41256","005","005 Cranioplasty"
"41256","0051","005.1 Cranioplasty : natural material"
"41256","0052","005.2 Cranioplasty : inert material"
"41256","0053","005.3 Cranioplasty : opening of sutures"
"41256","0054","005.4 Cranioplasty : restoration of orbital region"
"41256","007","007 Repair of cerebral meninges"
"41256","0071","007.1 Repair of cerebral meninges : lamina cribrosa fistula"
"41256","0072","007.2 Repair of cerebral meninges : meningo encephalocele"
"41256","008","008 Ventricular puncture and anastomosis"
"41256","0081","008.1 Ventricular puncture and anastomosis : drainage"
"41256","0083","008.3 Ventricular puncture and anastomosis : ventriculo-cisternostomy"
"41256","0084","008.4 Ventricular puncture and anastomosis : ventriculo-vascular anastomosis"
"41256","0085","008.5 Ventricular puncture and anastomosis : subcutaneous reservoir"
"41256","009","009 Other operations on skull and meninges"
"41256","0091","009.1 Other operations on skull and meninges : biopsy"
"41256","0092","009.2 Other operations on skull and meninges : fractured skull"
"41256","0095","009.5 Other operations on skull and meninges : meningeal lesion"
"41256","0096","009.6 Other operations on skull and meninges : removal of foreign body"
"41256","013","013 Operations on thalamus and globus pallidus"
"41256","014","014 Other division or destruction of brain tissue"
"41256","015","015 Ventriculography"
"41256","016","016 Revision or irrigation of ventricular shunt"
"41256","017","017 Cranial puncture, not elsewhere classified"
"41256","0171","017.1 Cranial puncture, not elsewhere classified : needle biopsy of brain"
"41256","0172","017.2 Cranial puncture, not elsewhere classified : aspiration (brain substance, abscess)"
"41256","018","018 Cisternal puncture"
"41256","020","020 Laminotomy and laminectomy"
"41256","0201","020.1 Laminotomy and laminectomy : laminotomy"
"41256","0202","020.2 Laminotomy and laminectomy : excision of bone (tumour)"
"41256","0203","020.3 Laminotomy and laminectomy : elevation of depressed bone"
"41256","0204","020.4 Laminotomy and laminectomy : drainage (abscess, haematoma)"
"41256","0205","020.5 Laminotomy and laminectomy : opening of dura, decompression"
"41256","0206","020.6 Laminotomy and laminectomy : biopsy of bone"
"41256","021","021 Open reduction of fracture of spine"
"41256","0211","021.1 Open reduction of fracture of spine : with fixation"
"41256","022","022 Spinal fusion and bone operation"
"41256","0221","022.1 Spinal fusion and bone operation : bone graft"
"41256","0222","022.2 Spinal fusion and bone operation : arthroplasty of spine"
"41256","023","023 Operation on intervertebral disc, not elsewhere classified"
"41256","0231","023.1 Operation on intervertebral disc, not elsewhere classified : excision"
"41256","0232","023.2 Operation on intervertebral disc, not elsewhere classified : with radiculotomy"
"41256","0233","023.3 Operation on intervertebral disc, not elsewhere classified : with bone graft"
"41256","0234","023.4 Operation on intervertebral disc, not elsewhere classified : exploration"
"41256","024","024 Section of intraspinal nerve roots"
"41256","0241","024.1 Section of intraspinal nerve roots : cauda equina"
"41256","025","025 Division of cord or spinal tracts"
"41256","026","026 Extirpation of intraspinal lesion"
"41256","0261","026.1 Extirpation of intraspinal lesion : extramedullary"
"41256","0262","026.2 Extirpation of intraspinal lesion : intradedullary"
"41256","0263","026.3 Extirpation of intraspinal lesion : extrusion technique"
"41256","027","027 Repair of spinal cord and meninges"
"41256","0275","027.5 Repair of spinal cord and meninges : freeing of adhesions"
"41256","028","028 Spinal puncture"
"41256","0281","028.1 Spinal puncture : spinal myelography"
"41256","0282","028.2 Spinal puncture : injection of destructive agent"
"41256","0283","028.3 Spinal puncture : drainage"
"41256","0284","028.4 Spinal puncture : manometry"
"41256","0285","028.5 Spinal puncture : diagnostic, not elsewhere classified"
"41256","0286","028.6 Spinal puncture : cauda equine block"
"41256","029","029 Other operation on spine and contents"
"41256","0291","029.1 Other operation on spine and contents : biopsy of cord or meninges"
"41256","0292","029.2 Other operation on spine and contents : removal of foreign body"
"41256","0293","029.3 Other operation on spine and contents : operation for spinal deformity"
"41256","0295","029.5 Other operation on spine and contents : aspiration (cyst, abscess)"
"41256","0296","029.6 Other operation on spine and contents : neuropacemaker, insertion"
"41256","032","032 Decompression of cranial nerve"
"41256","034","034 Injection of cranial nerve or ganglion"
"41256","0342","034.2 Injection of cranial nerve or ganglion : destructive"
"41256","035","035 Other operations on cranial nerves and ganglia"
"41256","0351","035.1 Other operations on cranial nerves and ganglia : avulsion"
"41256","0352","035.2 Other operations on cranial nerves and ganglia : transection"
"41256","0353","035.3 Other operations on cranial nerves and ganglia : ganglionectomy"
"41256","0355","035.5 Other operations on cranial nerves and ganglia : repair or anastomosis"
"41256","036","036 Sympathectomy"
"41256","0361","036.1 Sympathectomy : cervical"
"41256","0362","036.2 Sympathectomy : stellate"
"41256","0363","036.3 Sympathectomy : lumbar"
"41256","0364","036.4 Sympathectomy : splanchnic, presacral"
"41256","037","037 Injection into sympathetic nerve or ganglion"
"41256","0372","037.2 Injection into sympathetic nerve or ganglion : destructive"
"41256","0373","037.3 Injection into sympathetic nerve or ganglion : para cervical"
"41256","039","039 Other operation on autonomic nervous system"
"41256","0391","039.1 Other operation on autonomic nervous system : biopsy"
"41256","0392","039.2 Other operation on autonomic nervous system : extirpation"
"41256","0393","039.3 Other operation on autonomic nervous system : periaterial sympathetic"
"41256","040","040 Neurectomy and neurotomy"
"41256","0401","040.1 Neurectomy and neurotomy : biopsy"
"41256","0402","040.2 Neurectomy and neurotomy : excision"
"41256","0403","040.3 Neurectomy and neurotomy : section"
"41256","041","041 Decompression of nerve"
"41256","0411","041.1 Decompression of nerve : carpel tunnel"
"41256","0412","041.2 Decompression of nerve : tarsal tunnel"
"41256","043","043 Freeing of adhesions"
"41256","0431","043.1 Freeing of adhesions : exploration, not elsewhere classified"
"41256","045","045 Extirpation of lesion of peripheral nerve"
"41256","046","046 Neuroplasty and neurorrhaphy"
"41256","0461","046.1 Neuroplasty and neurorrhaphy : anastomosis"
"41256","0462","046.2 Neuroplasty and neurorrhaphy : suture"
"41256","0463","046.3 Neuroplasty and neurorrhaphy : transposition"
"41256","048","048 Injection of peripheral nerve"
"41256","0481","048.1 Injection of peripheral nerve : destructive"
"41256","049","049 Other operations on peripheral nerves"
"41256","0492","049.2 Other operations on peripheral nerves : removal of foreign body"
"41256","052","052 Operations on vessels of brain"
"41256","0521","052.1 Operations on vessels of brain : clip or ligation"
"41256","0522","052.2 Operations on vessels of brain : other operations on aneurysm nec"
"41256","0523","052.3 Operations on vessels of brain : excision"
"41256","053","053 Evacuation of haematoma or cyst"
"41256","0531","053.1 Evacuation of haematoma or cyst : subdural"
