"field_id","value_code","value_name"
"41258","001","001 Craniotomy, not elsewhere classified"
"41258","0011","001.1 Craniotomy, not elsewhere classified : burr-hole"
"41258","0012","001.2 Craniotomy, not elsewhere classified : trephine"
"41258","0014","001.4 Craniotomy, not elsewhere classified : puncture of brain"
"41258","004","004 Excision of lesion of skull"
"41258","005","005 Cranioplasty"
"41258","0051","005.1 Cranioplasty : natural material"
"41258","0052","005.2 Cranioplasty : inert material"
"41258","0053","005.3 Cranioplasty : opening of sutures"
"41258","0054","005.4 Cranioplasty : restoration of orbital region"
"41258","007","007 Repair of cerebral meninges"
"41258","0071","007.1 Repair of cerebral meninges : lamina cribrosa fistula"
"41258","0072","007.2 Repair of cerebral meninges : meningo encephalocele"
"41258","008","008 Ventricular puncture and anastomosis"
"41258","0081","008.1 Ventricular puncture and anastomosis : drainage"
"41258","0083","008.3 Ventricular puncture and anastomosis : ventriculo-cisternostomy"
"41258","0084","008.4 Ventricular puncture and anastomosis : ventriculo-vascular anastomosis"
"41258","0085","008.5 Ventricular puncture and anastomosis : subcutaneous reservoir"
"41258","009","009 Other operations on skull and meninges"
"41258","0091","009.1 Other operations on skull and meninges : biopsy"
"41258","0092","009.2 Other operations on skull and meninges : fractured skull"
"41258","0095","009.5 Other operations on skull and meninges : meningeal lesion"
"41258","0096","009.6 Other operations on skull and meninges : removal of foreign body"
"41258","013","013 Operations on thalamus and globus pallidus"
"41258","014","014 Other division or destruction of brain tissue"
"41258","015","015 Ventriculography"
"41258","016","016 Revision or irrigation of ventricular shunt"
"41258","017","017 Cranial puncture, not elsewhere classified"
"41258","0171","017.1 Cranial puncture, not elsewhere classified : needle biopsy of brain"
"41258","0172","017.2 Cranial puncture, not elsewhere classified : aspiration (brain substance, abscess)"
"41258","018","018 Cisternal puncture"
"41258","020","020 Laminotomy and laminectomy"
"41258","0201","020.1 Laminotomy and laminectomy : laminotomy"
"41258","0202","020.2 Laminotomy and laminectomy : excision of bone (tumour)"
"41258","0203","020.3 Laminotomy and laminectomy : elevation of depressed bone"
"41258","0204","020.4 Laminotomy and laminectomy : drainage (abscess, haematoma)"
"41258","0205","020.5 Laminotomy and laminectomy : opening of dura, decompression"
"41258","0206","020.6 Laminotomy and laminectomy : biopsy of bone"
"41258","021","021 Open reduction of fracture of spine"
"41258","0211","021.1 Open reduction of fracture of spine : with fixation"
"41258","022","022 Spinal fusion and bone operation"
"41258","0221","022.1 Spinal fusion and bone operation : bone graft"
"41258","0222","022.2 Spinal fusion and bone operation : arthroplasty of spine"
"41258","023","023 Operation on intervertebral disc, not elsewhere classified"
"41258","0231","023.1 Operation on intervertebral disc, not elsewhere classified : excision"
"41258","0232","023.2 Operation on intervertebral disc, not elsewhere classified : with radiculotomy"
"41258","0233","023.3 Operation on intervertebral disc, not elsewhere classified : with bone graft"
"41258","0234","023.4 Operation on intervertebral disc, not elsewhere classified : exploration"
"41258","024","024 Section of intraspinal nerve roots"
"41258","0241","024.1 Section of intraspinal nerve roots : cauda equina"
"41258","025","025 Division of cord or spinal tracts"
"41258","026","026 Extirpation of intraspinal lesion"
"41258","0261","026.1 Extirpation of intraspinal lesion : extramedullary"
"41258","0262","026.2 Extirpation of intraspinal lesion : intradedullary"
"41258","0263","026.3 Extirpation of intraspinal lesion : extrusion technique"
"41258","027","027 Repair of spinal cord and meninges"
"41258","0275","027.5 Repair of spinal cord and meninges : freeing of adhesions"
"41258","028","028 Spinal puncture"
"41258","0281","028.1 Spinal puncture : spinal myelography"
"41258","0282","028.2 Spinal puncture : injection of destructive agent"
"41258","0283","028.3 Spinal puncture : drainage"
"41258","0284","028.4 Spinal puncture : manometry"
"41258","0285","028.5 Spinal puncture : diagnostic, not elsewhere classified"
"41258","0286","028.6 Spinal puncture : cauda equine block"
"41258","029","029 Other operation on spine and contents"
