"field_id","field_name","value_code","value_name","category_name","item_count","notes"
2335,"Chest pain or discomfort","-1","Do not know","Chest pain",573746,"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?"""
2335,"Chest pain or discomfort","-3","Prefer not to answer","Chest pain",573746,"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?"""
2335,"Chest pain or discomfort","0","No","Chest pain",573746,"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?"""
2335,"Chest pain or discomfort","1","Yes","Chest pain",573746,"ACE touchscreen question ""Do you ever have any pain or discomfort in your chest?"""
2345,"Ever had bowel cancer screening","-1","Do not know","Cancer screening",573745,"ACE touchscreen question ""Have you ever had a screening test for bowel (colorectal) cancer? (Please include tests for blood in the stool/faeces or a colonoscopy or a sigmoidoscopy)""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Screening tests for bowel or colorectal cancer include:<br> - FOBT (faecal occult blood test) - this is when you<br>   are given a set of cards and asked to smear a part<br>   of your stool on three separate occasions onto the<br>   cards and then return the cards to be tested for<br>   blood.<br> - Sigmoidoscopy - a tube is used to examine the lower<br>   bowel. This is usually done in a doctor's office<br>   without pain relief.<br> - Colonoscopy - a long tube is used the examine the<br>   whole large bowel; you would usually have to drink<br>   a large amount of special liquid to prepare the<br>   bowel, and you would be given a sedative medication<br>   for the procedure.<br></i></td></tr></table>"
2345,"Ever had bowel cancer screening","-3","Prefer not to answer","Cancer screening",573745,"ACE touchscreen question ""Have you ever had a screening test for bowel (colorectal) cancer? (Please include tests for blood in the stool/faeces or a colonoscopy or a sigmoidoscopy)""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Screening tests for bowel or colorectal cancer include:<br> - FOBT (faecal occult blood test) - this is when you<br>   are given a set of cards and asked to smear a part<br>   of your stool on three separate occasions onto the<br>   cards and then return the cards to be tested for<br>   blood.<br> - Sigmoidoscopy - a tube is used to examine the lower<br>   bowel. This is usually done in a doctor's office<br>   without pain relief.<br> - Colonoscopy - a long tube is used the examine the<br>   whole large bowel; you would usually have to drink<br>   a large amount of special liquid to prepare the<br>   bowel, and you would be given a sedative medication<br>   for the procedure.<br></i></td></tr></table>"
2345,"Ever had bowel cancer screening","0","No","Cancer screening",573745,"ACE touchscreen question ""Have you ever had a screening test for bowel (colorectal) cancer? (Please include tests for blood in the stool/faeces or a colonoscopy or a sigmoidoscopy)""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Screening tests for bowel or colorectal cancer include:<br> - FOBT (faecal occult blood test) - this is when you<br>   are given a set of cards and asked to smear a part<br>   of your stool on three separate occasions onto the<br>   cards and then return the cards to be tested for<br>   blood.<br> - Sigmoidoscopy - a tube is used to examine the lower<br>   bowel. This is usually done in a doctor's office<br>   without pain relief.<br> - Colonoscopy - a long tube is used the examine the<br>   whole large bowel; you would usually have to drink<br>   a large amount of special liquid to prepare the<br>   bowel, and you would be given a sedative medication<br>   for the procedure.<br></i></td></tr></table>"
2345,"Ever had bowel cancer screening","1","Yes","Cancer screening",573745,"ACE touchscreen question ""Have you ever had a screening test for bowel (colorectal) cancer? (Please include tests for blood in the stool/faeces or a colonoscopy or a sigmoidoscopy)""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>Screening tests for bowel or colorectal cancer include:<br> - FOBT (faecal occult blood test) - this is when you<br>   are given a set of cards and asked to smear a part<br>   of your stool on three separate occasions onto the<br>   cards and then return the cards to be tested for<br>   blood.<br> - Sigmoidoscopy - a tube is used to examine the lower<br>   bowel. This is usually done in a doctor's office<br>   without pain relief.<br> - Colonoscopy - a long tube is used the examine the<br>   whole large bowel; you would usually have to drink<br>   a large amount of special liquid to prepare the<br>   bowel, and you would be given a sedative medication<br>   for the procedure.<br></i></td></tr></table>"
2365,"Ever had prostate specific antigen (PSA) test","-1","Do not know","Cancer screening",263709,"ACE touchscreen question ""Have you ever had a blood test for prostate cancer (prostate specific antigen or PSA test)?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, select Do not know.<br></i></td></tr></table>"
2365,"Ever had prostate specific antigen (PSA) test","-3","Prefer not to answer","Cancer screening",263709,"ACE touchscreen question ""Have you ever had a blood test for prostate cancer (prostate specific antigen or PSA test)?""<p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, select Do not know.<br></i></td></tr></table>"
