"field_id","value_code","value_name","count"
"41256","001","Craniotomy, not elsewhere classified","12"
"41256","0011","Craniotomy, not elsewhere classified : burr-hole","0"
"41256","0012","Craniotomy, not elsewhere classified : trephine","0"
"41256","0014","Craniotomy, not elsewhere classified : puncture of brain","0"
"41256","004","Excision of lesion of skull","0"
"41256","005","Cranioplasty","0"
"41256","0051","Cranioplasty : natural material","0"
"41256","0052","Cranioplasty : inert material","0"
"41256","0053","Cranioplasty : opening of sutures","0"
"41256","0054","Cranioplasty : restoration of orbital region","0"
"41256","007","Repair of cerebral meninges","0"
"41256","0071","Repair of cerebral meninges : lamina cribrosa fistula","0"
"41256","0072","Repair of cerebral meninges : meningo encephalocele","0"
"41256","008","Ventricular puncture and anastomosis","4"
"41256","0081","Ventricular puncture and anastomosis : drainage","4"
"41256","0083","Ventricular puncture and anastomosis : ventriculo-cisternostomy","0"
"41256","0084","Ventricular puncture and anastomosis : ventriculo-vascular anastomosis","0"
"41256","0085","Ventricular puncture and anastomosis : subcutaneous reservoir","0"
"41256","009","Other operations on skull and meninges","0"
"41256","0091","Other operations on skull and meninges : biopsy","0"
"41256","0092","Other operations on skull and meninges : fractured skull","0"
"41256","0095","Other operations on skull and meninges : meningeal lesion","0"
"41256","0096","Other operations on skull and meninges : removal of foreign body","0"
"41256","013","Operations on thalamus and globus pallidus","0"
"41256","014","Other division or destruction of brain tissue","0"
"41256","015","Ventriculography","0"
"41256","016","Revision or irrigation of ventricular shunt","0"
"41256","017","Cranial puncture, not elsewhere classified","0"
"41256","0171","Cranial puncture, not elsewhere classified : needle biopsy of brain","0"
"41256","0172","Cranial puncture, not elsewhere classified : aspiration (brain substance, abscess)","0"
"41256","018","Cisternal puncture","0"
"41256","020","Laminotomy and laminectomy","34"
"41256","0201","Laminotomy and laminectomy : laminotomy","0"
"41256","0202","Laminotomy and laminectomy : excision of bone (tumour)","0"
"41256","0203","Laminotomy and laminectomy : elevation of depressed bone","0"
"41256","0204","Laminotomy and laminectomy : drainage (abscess, haematoma)","0"
"41256","0205","Laminotomy and laminectomy : opening of dura, decompression","20"
"41256","0206","Laminotomy and laminectomy : biopsy of bone","0"
"41256","021","Open reduction of fracture of spine","0"
"41256","0211","Open reduction of fracture of spine : with fixation","4"
"41256","022","Spinal fusion and bone operation","28"
"41256","0221","Spinal fusion and bone operation : bone graft","0"
"41256","0222","Spinal fusion and bone operation : arthroplasty of spine","5"
"41256","023","Operation on intervertebral disc, not elsewhere classified","0"
"41256","0231","Operation on intervertebral disc, not elsewhere classified : excision","90"
"41256","0232","Operation on intervertebral disc, not elsewhere classified : with radiculotomy","0"
"41256","0233","Operation on intervertebral disc, not elsewhere classified : with bone graft","0"
"41256","0234","Operation on intervertebral disc, not elsewhere classified : exploration","0"
"41256","024","Section of intraspinal nerve roots","0"
"41256","0241","Section of intraspinal nerve roots : cauda equina","0"
"41256","025","Division of cord or spinal tracts","0"
