"field_id","field_name","value_code","value_name","category_name","item_count","notes"
31,"Sex","0","Female","Baseline characteristics",502505,"Sex of participant. <p>Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex."
31,"Sex","1","Male","Baseline characteristics",502505,"Sex of participant. <p>Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex."
52,"Month of birth","1","January","Baseline characteristics",502505,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant."
52,"Month of birth","10","October","Baseline characteristics",502505,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant."
52,"Month of birth","11","November","Baseline characteristics",502505,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant."
52,"Month of birth","12","December","Baseline characteristics",502505,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant."
52,"Month of birth","2","February","Baseline characteristics",502505,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant."
52,"Month of birth","3","March","Baseline characteristics",502505,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant."
52,"Month of birth","4","April","Baseline characteristics",502505,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant."
52,"Month of birth","5","May","Baseline characteristics",502505,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant."
52,"Month of birth","6","June","Baseline characteristics",502505,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant."
52,"Month of birth","7","July","Baseline characteristics",502505,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant."
52,"Month of birth","8","August","Baseline characteristics",502505,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant."
52,"Month of birth","9","September","Baseline characteristics",502505,"Calendar month of birth of participant.<p>Acquired from central registry, updated by participant."
54,"UK Biobank assessment centre","10003","Stockport (pilot)","Reception",574646,"The UK Biobank assessment centre at which participant consented.<p>Automatically acquired at participant consent"
54,"UK Biobank assessment centre","11001","Manchester","Reception",574646,"The UK Biobank assessment centre at which participant consented.<p>Automatically acquired at participant consent"
54,"UK Biobank assessment centre","11002","Oxford","Reception",574646,"The UK Biobank assessment centre at which participant consented.<p>Automatically acquired at participant consent"
