field_id,field_name,notes,category_name,item_count
48,Waist circumference,Waist circumference,Body size measures,570954
49,Hip circumference,Hip circumference,Body size measures,570892
50,Standing height,Standing height was measured using a Seca 202 device,Body size measures,570525
51,Seated height,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~",Body size measures,566624
189,Townsend deprivation index at recruitment,Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.,Baseline characteristics,501882
3062,Forced vital capacity (FVC),FVC value calculated from blow,Spirometry,1415262
3063,Forced expiratory volume in 1-second (FEV1),FEV1 value calculated from blow,Spirometry,1415262
3160,"Weight, manual entry",Weight (manual entry),Body size measures,8707
20006,Interpolated Year when cancer first diagnosed,"This is the interpolated time when the participant indicated the corresponding cancer was first diagnosed by a doctor, measured in years. <ul> <li>If the participant gave a calendar year, then the best-fit time is half-way through that year. For example if the year was given as 1970, then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is the date at which they were 30years+6months. <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>",Medical conditions,53317
20007,Interpolated Age of participant when cancer first diagnosed,"This is the interpolated time when the participant indicated the corresponding cancer was first diagnosed by a doctor, given as their estimated age. <ul> <li>If the participant gave a calendar year, then the best-fit time is their age at the mid-point of that year. For example if the year was given as 1970, and the participant was born on 1 April 1950, then their age on 1st July 1970 is 20.25</li> then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is 30.5 <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>",Medical conditions,53317
20008,Interpolated Year when non-cancer illness first diagnosed,"This is the interpolated time when the participant indicated the corresponding condition was first diagnosed by a doctor, measured in years. <ul> <li>If the participant gave a calendar year, then the best-fit time is half-way through that year. For example if the year was given as 1970, then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is the date at which they were 30years+6months. <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>",Medical conditions,1125831
20009,Interpolated Age of participant when non-cancer illness first diagnosed,"This is the interpolated time when the participant indicated the corresponding condition was first diagnosed by a doctor, given as their estimated age. <ul> <li>If the participant gave a calendar year, then the best-fit time is their age at the mid-point of that year. For example if the year was given as 1970, and the participant was born on 1 April 1950, then their age on 1st July 1970 is 20.25</li> then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is 30.5 <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>",Medical conditions,1125831
20010,Interpolated Year when operation took place,This is the year when the participant indicated the operation took place.,Operations,993527
30000,White blood cell (leukocyte) count,"Result of White Blood Cell Count assay, performed on blood sample, obtained from UK Biobank assessment centre visit. White blood count is the number of leukocytes. <p> Analyser operating range was 0 to 9x10^11 cells/Litre. <p> Typical reference range is 3.5x10^9 to 9.6x10^9 cells/Litre.",Blood count,503445
30010,Red blood cell (erythrocyte) count,"Result of Red Blood Cell Count assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cells is the number of erythrocytes. <p> Analyser operating range was 0 to 2x10^13 cells/Litre. <p> Typical reference range is 3.9x10^12 to 5.5x10^12 cells/Litre.",Blood count,503449
30020,Haemoglobin concentration,"Result of Haemoglobin Concentration assay, performed on blood sample, obtained from UK Biobank assessment centre visit. <p> Analyser operating range was 0 to 99.9g/dL <p> Typical reference range is 12.1 to 16.3g/dL",Blood count,503451
30030,Haematocrit percentage,"Result of Haematocrit assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Haematocrit Percentage is the relative volume of packed erythrocytes to whole blood, computed by the formula: (red blood cells x mean corpuscular volume) / 10. <p> Analyser operating range was 0 to 99.9% <p> Typical reference range is 35.4 to 47.2%",Blood count,503451
30040,Mean corpuscular volume,"Result of Mean Corpuscular Volume assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (pg) is the weight of hemoglobin in the average erythrocyte, computed by the formula: MCH = (hemoglobin/red blood cells) x 10.",Blood count,503449
30050,Mean corpuscular haemoglobin,"Result of Mean Corpuscular Haemoglobin assay, performed on blood sample, obtained from UK Biobank assessment centre visit.",Blood count,503445
30060,Mean corpuscular haemoglobin concentration,"Result of Mean Corpuscular Haemoglobin Concentration assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Corpuscular Haemoglobin Concentration (g/dL) is the average weight of haemoglobin in a measured dilution, computed by the formula: (haemoglobin/haematocrit) x 100.",Blood count,503441
30070,Red blood cell (erythrocyte) distribution width,"Result of Red Distribution Width assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Red blood cell Distribution Width is the size distribution spread of the erythrocyte population derived from the red blood cell histogram. It is the coefficient of variation (CV) expressed in % of the red blood cell size distribution.",Blood count,503449
30080,Platelet count,"Result of Platelet Count assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet count is the number of thrombocytes derived from the platelet histogram.",Blood count,503448
30090,Platelet crit,"Result of Platelet Crit assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet Crit is a computed value that represents the platelet packed cell volume.",Blood count,497774
30100,Mean platelet (thrombocyte) volume,"Result of Mean Platelet Volume assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Mean Platelet Volume is the average volume of individual platelets derived from the platelet histogram.",Blood count,503441
30110,Platelet distribution width,"Result of Platelet Distribution Width assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Platelet Distribution Width is the coefficient of variation of platelet size.",Blood count,497773
30120,Lymphocyte count,"Result of Lymphocytes Number assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Lymphocyte count is the proportion of ( lymphoctyes / 100 ) x white blood cell count",Blood count,502543
30130,Monocyte count,"Result of Monocytes Number assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocyte count is the proportion of ( monoctyes / 100 ) x white blood cell count.",Blood count,502543
30140,Neutrophill count,"Result of Neutrophils Number assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Neutrophils count is the proportion of ( neutrophils / 100 ) x white blood cell count.",Blood count,502543
30150,Eosinophill count,"Result of Eosinophils Number assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Eosinophils count is the proportion of ( eosinophils / 100 ) x white blood cell count.",Blood count,502543
30160,Basophill count,"Result of Basophils Number assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Basophils count is the proportion of ( basophils / 100 ) x white blood cell count.",Blood count,502543
30170,Nucleated red blood cell count,"Result of Nucleated Red Blood Cells Number assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Nucleated Red Blood Cells count is calculated as: Nucleated Red Blood Cells (percentage) x white blood cell count .",Blood count,496853
30180,Lymphocyte percentage,"Result of Lymphocytes Percentage assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Lymphocytes (Percentage) is calculated as the proportion of lymphocytes in the leukocytes.",Blood count,502550
30190,Monocyte percentage,"Result of Monocytes Percentage assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Monocytes (percentage) is calculated as the proportion of monocytes in the leukocytes.",Blood count,502550
30200,Neutrophill percentage,"Result of Neutrophils Percentage assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Neutrophils (Percentage) is calculated as the proportion of neutrophils in the leukocytes.",Blood count,502550
30210,Eosinophill percentage,"Result of Eosinophils Percentage assay, performed on blood sample, obtained from UK Biobank assessment centre visit. Eosinophils (Percentage) is calculated as the proportion of eosinophils in the leukocytes.",Blood count,502550
