field_id,field_name,value,meaning,category_name,item_count
31,Sex,0,Female,Baseline characteristics,502505
52,Month of birth,1,January,Baseline characteristics,502505
54,UK Biobank assessment centre,10003,Stockport (pilot),Reception,574646
55,Month of attending assessment centre,1,January,Reception,574651
190,Reason lost to follow-up,1,Death reported to UK Biobank by a relative,Ongoing characteristics,1298
1558,Alcohol intake frequency.,-3,Prefer not to answer,Alcohol,573365
2335,Chest pain or discomfort,-3,Prefer not to answer,Chest pain,573339
2443,Diabetes diagnosed by doctor,-3,Prefer not to answer,Medical conditions,573331
2453,Cancer diagnosed by doctor,-3,Prefer not to answer,Medical conditions,573331
2463,Fractured/broken bones in last 5 years,-3,Prefer not to answer,Medical conditions,573331
2473,Other serious medical condition/disability diagnosed by doctor,-3,Prefer not to answer,Medical conditions,573331
2492,Taking other prescription medications,-3,Prefer not to answer,Medication,573331
2724,Had menopause,-3,Prefer not to answer,Female-specific factors,309811
2774,"Ever had stillbirth, spontaneous miscarriage or termination",-3,Prefer not to answer,Female-specific factors,309808
2784,Ever taken oral contraceptive pill,-3,Prefer not to answer,Female-specific factors,309808
2814,Ever used hormone-replacement therapy (HRT),-3,Prefer not to answer,Female-specific factors,309808
2834,Bilateral oophorectomy (both ovaries removed),-5,Not sure,Female-specific factors,309808
2844,Had other major operations,-3,Prefer not to answer,Operations,309808
2986,Started insulin within one year diagnosis of diabetes,-3,Prefer not to answer,Medical conditions,29218
4041,Gestational diabetes only,-3,Prefer not to answer,Medical conditions,11738
20001,"Cancer code, self-reported",-1,ear/nose/throat cancer,Medical conditions,53317
20002,"Non-cancer illness code, self-reported",-1,cardiovascular,Medical conditions,1125842
20003,Treatment/medication code,1185,vitamin e product [ctsu],Medications,1380303
20004,Operation code,-1,cardiovascular,Operations,993531
30004,White blood cell (leukocyte) count acquisition route,0,Direct,Blood count processing,503445
30014,Red blood cell (erythrocyte) count acquisition route,0,Direct,Blood count processing,503449
30024,Haemoglobin concentration acquisition route,0,Direct,Blood count processing,503451
30034,Haematocrit percentage acquisition route,0,Direct,Blood count processing,503451
30044,Mean corpuscular volume acquisition route,0,Direct,Blood count processing,503449
30054,Mean corpuscular haemoglobin acquisition route,0,Direct,Blood count processing,503445
30064,Mean corpuscular haemoglobin concentration acquisition route,0,Direct,Blood count processing,503441
30074,Red blood cell (erythrocyte) distribution width acquisition route,0,Direct,Blood count processing,503449
30084,Platelet count acquisition route,0,Direct,Blood count processing,503448
30094,Platelet crit acquisition route,0,Direct,Blood count processing,497774
30104,Mean platelet (thrombocyte) volume acquisition route,0,Direct,Blood count processing,503441
