"field_id","field_name","unit_name","category_name","item_count","priority","notes"
3,"Verbal interview duration","seconds","Process durations",567782,567782,"Time taken for interview"
4,"Biometrics duration","seconds","Process durations",567671,567671,"Time taken for participant to do the tests in the biometric station of the Assessment Centre visit."
5,"Sample collection duration","seconds","Process durations",572643,572643,"Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood."
6,"Conclusion duration","seconds","Process durations",570215,570215,"This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit."
34,"Year of birth","years","Baseline characteristics",502505,1502505,"Year of birth of participant.<p>Acquired from central registry, updated by participant."
46,"Hand grip strength (left)","Kg","Hand grip strength",569378,1569378,"Left grip strength"
47,"Hand grip strength (right)","Kg","Hand grip strength",569463,1569463,"Right grip strength"
48,"Waist circumference","cm","Body size measures",570954,1570954,"Waist circumference"
49,"Hip circumference","cm","Body size measures",570892,1570892,"Hip circumference"
50,"Standing height","cm","Body size measures",570525,1570525,"Standing height was measured using a Seca 202 device"
51,"Seated height","cm","Body size measures",566624,1566624,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~"
68,"Number of blood samples taken",,"Blood sample collection",572643,572643,"Blood, count of sample barcodes recorded<p>Each barcode corresponds to a sample collected in the assessment centre. However the actual volume collected was not always the full amount preferred."
74,"Fasting time","hours","Blood sample collection",572619,572619,"Fasting time is the interval between consumption of food or drink and blood sample(s) being taken. This was recorded so that it could be allowed for when analysing the blood composition at a later date."
77,"Heel bone ultrasound T-score, manual entry","Std.Devs","Bone-densitometry of heel",42731,42731,"This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard."
78,"Heel bone mineral density (BMD) T-score, automated","Std.Devs","Bone-densitometry of heel",279093,279093,"This T-score is calculated from the ultrasound heel BMD measurement and is based on a person's bone density compared with what is normally expected in someone of the same sex. The units of the T-score are the number of standard deviations (SD) that the bone density is above or below the standard."
84,"Cancer year/age first occurred",,"Medical conditions",53317,53317,"For each cancer entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis."
87,"Non-cancer illness year/age first occurred",,"Medical conditions",1125842,1125842,"For each disease entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis."
92,"Operation year/age first occurred",,"Operations",993531,993531,"For each operation entered, the nurse entered the date or age at diagnosis using a pop-up screen, depending on the participant's response. See Related Data-fields tab for further information on where to find separate data-fields for age and year of diagnosis."
93,"Systolic blood pressure, manual reading","mmHg","Blood pressure",81001,1081001,"Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed."
94,"Diastolic blood pressure, manual reading","mmHg","Blood pressure",81001,1081001,"Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed."
95,"Pulse rate (during blood-pressure measurement)",,"Blood pressure",81001,81001,"Pulse measured during automated blood-pressure reading"
