"field_id","field_name","unit_name","category_name","item_count","priority","notes"
34,"Year of birth","years","Baseline characteristics",502505,1502505,"Year of birth of participant.<p>Acquired from central registry, updated by participant."
46,"Hand grip strength (left)","Kg","Hand grip strength",569378,1569378,"Left grip strength"
47,"Hand grip strength (right)","Kg","Hand grip strength",569463,1569463,"Right grip strength"
48,"Waist circumference","cm","Body size measures",570954,1570954,"Waist circumference"
49,"Hip circumference","cm","Body size measures",570892,1570892,"Hip circumference"
50,"Standing height","cm","Body size measures",570525,1570525,"Standing height was measured using a Seca 202 device"
51,"Seated height","cm","Body size measures",566624,1566624,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~"
93,"Systolic blood pressure, manual reading","mmHg","Blood pressure",81001,1081001,"Blood pressure, manual reading, systolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed."
94,"Diastolic blood pressure, manual reading","mmHg","Blood pressure",81001,1081001,"Blood pressure, manual reading, diastolic. Two measures of blood pressure were taken a few moments apart. A manual sphygmometer was used if the standard automated device could not be employed."
102,"Pulse rate, automated reading","bpm","Blood pressure",1052519,2052519,"This is the pulse rate measured during the automated blood pressure readings."
189,"Townsend deprivation index at recruitment",,"Baseline characteristics",501882,1501882,"Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located."
2734,"Number of live births","children","Female-specific factors",309809,1309809,"ACE touchscreen question ""How many children have you given birth to? (Please include live births only)""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > 25 then rejected</li><li>If answer > 12 then participant asked to confirm</li></ul>"
2744,"Birth weight of first child","pounds","Female-specific factors",250515,1250515,"ACE touchscreen question ""What was the birth weight of your first child in pounds? (do not include twins)""<p>The following checks were performed:<ul><li>If answer < 2 then rejected</li><li>If answer > 16 then rejected</li><li>If answer > 12 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure of the weight in pounds, here is a conversion table for pounds, grams and kilograms.<br><br>Pounds  Grams  Kilograms<br>2  907  0.91<br>3  1361  1.36<br>4  1814  1.81<br>5  2268  2.27<br>6  2721  2.72<br>7  3175  3.18<br>8  3629  3.63<br>9  4082  4.08<br>10  4536  4.54<br>11  4990  4.99<br>12  5443  5.44<br>13  5897  5.90<br>14  6350  6.35<br>15  6804  6.80<br><br>An exact answer is not necessary. Please enter the birthweight to the closest pound.<br>If your first birth was twins or other multiple birth, enter the birthweight of the first singleton birth.<br>If you have only had twins or other multiple births then select Only twins.<br></i></td></tr></table><p>~F2744~ was collected from women who indicated they had given birth to at least one child, as defined by their answers to ~F2734~"
2754,"Age at first live birth","years","Female-specific factors",209345,1209345,"ACE touchscreen question ""How old were you when you had your FIRST child?""<p>The following checks were performed:<ul><li>If answer < 8 then rejected</li><li>If answer > 65 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < Age at first period then rejected</li><li>If answer < 12 then participant asked to confirm</li><li>If answer > 48 then participant asked to confirm</li><li>If answer > Age when periods stopped then participant asked to confirm</li></ul><p>~F2754~ was collected from women who indicated they had given birth to more than one child, as defined by their answers to ~F2734~"
2764,"Age at last live birth","years","Female-specific factors",209345,1209345,"ACE touchscreen question ""How old were you when you had your LAST child?""<p>The following checks were performed:<ul><li>If answer < 8 then rejected</li><li>If answer > 65 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < Age at first period then rejected</li><li>If answer < 12 then participant asked to confirm</li><li>If answer > 48 then participant asked to confirm</li><li>If answer > Age when periods stopped then participant asked to confirm</li></ul><p>~F2764~ was collected from women who indicated they had given birth to more than one child, as defined by their answers to ~F2734~"
2794,"Age started oral contraceptive pill","years","Female-specific factors",251487,1251487,"ACE touchscreen question ""About how old were you when you first went on the contraceptive pill?""<p>The following checks were performed:<ul><li>If answer < 5 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 50 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F2794~ was collected from women who indicated that they had taken the contraceptive pill, as defined by their answers to ~F2784~"
2804,"Age when last used oral contraceptive pill","years","Female-specific factors",251045,1251045,"ACE touchscreen question ""How old were you when you last used the contraceptive pill?""<p>The following checks were performed:<ul><li>If answer < 5 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 60 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are currently taking the pill select Still taking the pill.<br>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F2804~ was collected from women who indicated that they had taken the contraceptive pill, as defined by their answers to ~F2784~"
2824,"Age at hysterectomy","years","Female-specific factors",57768,1057768,"ACE touchscreen question ""How old were you when you had your hysterectomy?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 35 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li><li>If answer < Age when had the only child or < Age when had the last child then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F2824~ was collected from women who indicated they have had a hysterectomy (womb removed), as defined by their answers to ~F2724~ and ~F2724~"
2966,"Age high blood pressure diagnosed","years","Medical conditions",153952,1153952,"ACE touchscreen question ""What was your age when the high blood pressure was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 40 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F2966~ was collected from participants who indicated they were told by a doctor that they have had high blood pressure, as defined by their answers to ~F6150~"
2976,"Age diabetes diagnosed","years","Medical conditions",29192,1029192,"ACE touchscreen question ""What was your age when the diabetes was first diagnosed?""<p>The following checks were performed:<ul><li>If answer < 0 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 10 then participant asked to confirm</li><li>If answer > 69 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F2976~ was collected from men who indicated that a doctor had told them they have diabetes, as defined by their answers to ~F2443~ and all women except those who indicated they had diabetes only during pregnancy, as defined by their answers to ~F2443~"
3062,"Forced vital capacity (FVC)","litres","Spirometry",1415262,2415262,"FVC value calculated from blow"
3063,"Forced expiratory volume in 1-second (FEV1)","litres","Spirometry",1415262,2415262,"FEV1 value calculated from blow"
3064,"Peak expiratory flow (PEF)","litres/min","Spirometry",1415262,2415262,"Peak expiratory flow during blow"
3160,"Weight, manual entry","Kg","Body size measures",8707,1008707,"Weight (manual entry)"
3536,"Age started hormone-replacement therapy (HRT)","years","Female-specific factors",118041,1118041,"ACE touchscreen question ""How old were you when you first used HRT?""<p>The following checks were performed:<ul><li>If answer < 16 then rejected</li><li>If answer > Participants age then rejected</li><li>If answer < 35 then participant asked to confirm</li><li>If answer > 65 then participant asked to confirm</li></ul><p>If the participant activated the Help button they were shown the message:<br><table><tr><td><i>If you are unsure, please provide an estimate or select Do not know.<br></i></td></tr></table><p>~F3536~ was collected from women who indicated that they had used HRT, as defined by their answers to ~F2814~"
