field_id,field_name,unit_name,notes,category_name,item_count
48,Waist circumference,cm,Waist circumference,Body size measures,571352
49,Hip circumference,cm,Hip circumference,Body size measures,571290
50,Standing height,cm,Standing height was measured using a Seca 202 device,Body size measures,570924
51,Seated height,cm,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~",Body size measures,567022
189,Townsend deprivation index at recruitment,NA,Townsend deprivation index calculated immediately prior to participant joining UK Biobank. Based on the preceding national census output areas. Each participant is assigned a score corresponding to the output area in which their postcode is located.,Baseline characteristics,501869
3062,Forced vital capacity (FVC),litres,FVC value calculated from blow,Spirometry,1416250
3063,Forced expiratory volume in 1-second (FEV1),litres,FEV1 value calculated from blow,Spirometry,1416250
3160,"Weight, manual entry",Kg,Weight (manual entry),Body size measures,8711
20006,Interpolated Year when cancer first diagnosed,years,"This is the interpolated time when the participant indicated the corresponding cancer was first diagnosed by a doctor, measured in years. <ul> <li>If the participant gave a calendar year, then the best-fit time is half-way through that year. For example if the year was given as 1970, then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is the date at which they were 30years+6months. <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>",Medical conditions,53383
20007,Interpolated Age of participant when cancer first diagnosed,years,"This is the interpolated time when the participant indicated the corresponding cancer was first diagnosed by a doctor, given as their estimated age. <ul> <li>If the participant gave a calendar year, then the best-fit time is their age at the mid-point of that year. For example if the year was given as 1970, and the participant was born on 1 April 1950, then their age on 1st July 1970 is 20.25</li> then the value presented is 1970.5</li> <li>If the participant gave their age then the value presented is the fractional year corresponding to the mid-point of that age. For example, if the participant said they were 30 years old then the value is 30.5 <li>Interpolated values before the date of birth were truncated forwards to that time.</li> <li>Interpolated values after the time of data acquisition were truncated back to that time.</li> </ul>",Medical conditions,53383
